A1,A2,A3,A4,B1,B2,B3,C,D,E,F
98.96103895,55.74425375,42.30865905,28.24295055,231.6176774,132.9134928,85.88216746,1.068579215,90.71428571,61.68571429,86
98.96103895,55.60949539,42.65984949,28.74415799,230.8511998,132.7818502,85.42652362,0.922280886,90.71428571,61.68571429,74
36.35306795,18.69015263,14.68135216,10.1566767,99.55672111,55.17156982,34.07900847,0.679638865,25,17,66
95.66233765,55.56665564,43.42160371,29.59089101,227.1359128,130.2925781,82.06633861,0.627986323,90.71428571,61.68571429,50
66.96363635,41.02531525,32.30583349,22.09049516,178.046858,101.8541238,63.85588817,0.510234716,63.5,43.18,42
38.48484848,23.32182418,18.86544215,13.22360114,102.5681055,54.80947062,31.69355035,0.162860246,35.27777778,23.98888889,14
95.66233765,54.44394804,43.99389038,31.07822506,219.1025146,120.9572936,71.5409159,0.595402715,90.71428571,32.65714286,86
32.87606938,18.53837241,14.84586707,10.3694947,90.81794358,48.33543125,27.4178925,0.42869795,25,9,74
31.36987088,18.1778987,14.59992183,10.21323,87.69472117,46.42854603,26.22949816,0.35334541,25,9,62
92.36363635,54.082164,43.63609423,30.68720796,218.1190511,120.6482678,70.56269363,0.423496025,90.71428571,32.65714286,62
66.96363635,39.09717297,31.43352603,21.98190106,168.1597525,92.31178693,53.59288685,0.394047806,63.5,22.86,58
30,17.86898531,14.35490032,10.04349235,85.50676691,45.03810457,25.34057635,0.30544375,25,9,54
29.09090909,17.54005336,14.18152355,9.969444541,80.51774284,41.73276393,23.1549573,0.214911525,25,9,38
64.65454544,40.19212852,32.54094666,22.79733599,163.7613398,89.03993985,50.15319747,0.229938468,63.5,22.86,34
64.65454544,40.91398908,33.42193042,23.6456799,159.4779951,85.13952224,45.76523813,0.14833016,63.5,22.86,22
59.38816873,31.77798583,25.04828312,16.80562393,169.4270501,104.8151223,75.93991915,1.376537047,43.18,63.5,66
26.56954129,13.87875635,10.93416564,7.527105319,77.24048577,44.36166262,29.81607116,0.419507225,17,25,26
68.94285714,39.08071264,30.36781022,20.55648787,191.6825113,118.9298294,82.64275167,0.630596662,61.68571429,90.71428571,26
32.64361888,15.20106073,11.69751812,8.019919972,87.04343278,48.2558587,30.61653425,0.98782969,17,17,74
53.34,28.3916028,22.41683012,15.56980015,138.711013,77.33852334,47.58985268,0.77199179,43.18,22.86,82
31.04444444,17.30741802,13.81671764,9.637540447,86.67921468,46.65663987,27.51882659,0.360455753,23.98888889,12.7,46
23.38116879,13.19452145,10.52878873,7.350238681,64.94305787,33.81486352,19.59462066,0.26354951,17,9,38
61.68571429,39.26004264,31.9607839,22.55664699,154.9925812,83.06477718,45.36680303,0.099061474,61.68571429,32.65714286,10
42.33333335,23.95947636,18.37167509,12.24999512,149.2092496,100.3825526,75.53989249,0.890656155,32.65714286,90.71428571,26
31.74012887,13.47872119,9.957413038,6.635530521,84.96452737,48.79959138,33.34505472,1.473399467,12.7,23.98888889,78
50.8,24.98926935,19.76021947,13.56933674,149.8819056,94.3281962,69.99173701,1.364255478,32.65714286,61.68571429,58
22.49300471,10.12868319,7.64603485,5.144657572,61.75501284,34.74450236,23.06193673,0.59817373,9,17,42
23.88095258,11.85834335,9.194776378,6.295276916,70.77400327,41.08877424,28.23491622,0.498355355,12.7,23.98888889,30
32.59666666,18.32063013,14.346117,9.756014809,105.429585,64.30901589,46.04252044,0.660214488,22.86,43.18,30
26.2564315,12.20336863,9.372768932,6.387628952,69.41232462,37.61896304,23.29578477,0.655419283,12.7,12.7,58
18.10925925,9.195032953,7.206389789,4.957728091,40.48693458,21.17955572,12.67389469,0.068447503,12.7,12.7,6
79.47214171,46.66007468,36.35428536,24.68605489,203.1779699,118.4819852,76.77085449,0.643973793,74.78888889,63.5,42
75.9136876,47.11947985,38.01420049,26.57600481,193.8313735,110.6601511,67.63280525,0.151522835,74.78888889,63.5,10
85.97376722,49.33278559,36.90419356,24.30368001,211.3774927,121.7070616,79.67384188,1.198565681,74.78888889,52.21111111,98
78.28599034,47.00085249,37.03652276,25.35766288,197.6049908,112.989536,70.44027653,0.485246436,74.78888889,52.21111111,38
81.84444444,45.90935764,37.06686327,26.30189291,202.7786457,115.0227006,72.46182667,0.862476675,74.78888889,40.92222222,86
